continual_event,video_num,filename,event_labels_1,event_labels_2,event_labels_3,event_labels_4,event_labels_5,event_labels_6
1,1,O8Oy2urG8Yo_280_290,Vacuum_cleaner,,,,,
1,1,GHp03eekctI_0_10,"Singing,Acoustic_guitar",,,,,
1,1,I5N4dU5TdnY_40_50,Motorcycle,,,,,
1,1,GwCltARncB0_80_90,"Violin_fiddle,Speech",,,,,
1,1,Mhl1KBik5EI_30_40,Chainsaw,,,,,
1,1,KNuRchxK6RQ_130_140,"Cello,Violin_fiddle,Accordion",,,,,
1,1,IIG4xO5-QVg_62_72,"Singing,Speech",,,,,
1,1,JpS8ihziwzE_10_20,"Speech,Dog",,,,,
1,1,CBJM2SGEzXQ_30_40,"Violin_fiddle,Speech",,,,,
1,1,Iqe7sw9TOyA_220_230,"Singing,Speech",,,,,
1,1,DJSzpi8Hnw4_270_280,"Singing,Speech",,,,,
1,1,BEQuVYV2xH4_30_40,Accordion,,,,,
1,1,GBpyEJ9Y5sE_30_40,Blender,,,,,
1,1,6v3UI7HbprE_30_40,Helicopter,,,,,
1,1,A7x8vP9N124_30_40,Vacuum_cleaner,,,,,
1,1,L8ybcXVjYho_30_40,"Violin_fiddle,Speech",,,,,
1,1,KqhSd3IcrWI_570_580,"Speech,Frying_(food)",,,,,
1,1,3wuAtACdj4M_30_40,Cheering,,,,,
1,1,EtSJ8UWJ32M_30_40,Baby_cry_infant_cry,,,,,
1,1,GLjai294FcU_30_40,"Speech,Dog",,,,,
1,1,Id4eMIZ6gak_16_26,"Speech,Baby_cry_infant_cry",,,,,
1,1,Lb4_F245H_Y_30_40,"Violin_fiddle,Speech",,,,,
1,1,Aam8DwG8VG4_10_20,"Motorcycle,Speech",,,,,
1,1,CFyKc5-3BF0_420_430,Blender,,,,,
1,1,IgkRNDPckeU_30_40,"Violin_fiddle,Speech",,,,,
1,1,L19JIkJveBA_20_30,"Speech,Dog",,,,,
1,1,6BEWE-cSrjQ_590_600,Lawn_mower,,,,,
1,1,ECZMmJ3tztE_30_40,Violin_fiddle,,,,,
1,1,2nNHGJ0jFBU_30_40,"Speech,Car",,,,,
1,1,1PMUC_J2Su0_30_40,Motorcycle,,,,,
1,1,1B7-U92jKQ8_30_40,Car,,,,,
1,1,Owf98ksVwhM_30_40,"Speech,Baby_laughter",,,,,
1,1,IeUsNxHECH8_500_510,"Speech,Frying_(food)",,,,,
1,1,2y2uQnr46zg_50_60,Clapping,,,,,
1,1,KGHW-BOlaG8_50_60,"Helicopter,Speech",,,,,
1,1,NqGQkAQQWhw_50_60,"Speech,Fire_alarm",,,,,
1,1,KFzxFiI8Y6Y_220_230,"Cello,Speech",,,,,
1,1,DxEX0guxEOw_30_40,"Motorcycle,Speech",,,,,
1,1,BwVxXhY4vEw_30_40,"Singing,Dog",,,,,
1,1,L7BEjQ0NJm0_20_30,Vacuum_cleaner,,,,,
1,1,CN7qu_1k3F8_550_560,Lawn_mower,,,,,
1,1,NJpgFHYA7NY_50_60,"Speech,Dog",,,,,
1,1,6sHwo4WfdBU_0_10,Motorcycle,,,,,
1,1,2gJAPUUu7zE_30_40,Cat,,,,,
1,1,K-lfZ7lMhDQ_30_40,"Violin_fiddle,Speech",,,,,
1,1,BWO2NVicSrw_10_20,Singing,,,,,
1,1,6XUTi0w3Wg0_0_10,"Chainsaw,Speech",,,,,
1,1,78feTFEJJa8_30_40,"Cello,Violin_fiddle",,,,,
1,1,ItYPYY8IDIY_130_140,Helicopter,,,,,
1,1,0RImtwFD_6o_480_490,Helicopter,,,,,
1,1,Jmt9zdbpXhg_100_110,Fire_alarm,,,,,
1,1,GbpQTJtqGkE_30_40,"Violin_fiddle,Speech",,,,,
1,1,1YOusBqwlH4_340_350,Accordion,,,,,
1,1,E0ZTYuA0DJ8_40_50,Singing,,,,,
1,1,8wFeTA5EI6U_510_520,"Speech,Fire_alarm",,,,,
1,1,Gq2jYgqfI7U_30_40,"Violin_fiddle,Speech",,,,,
1,1,I5YN1h1UFSM_200_210,Accordion,,,,,
1,1,Fcp_qhqDvIM_30_40,"Banjo,Acoustic_guitar",,,,,
1,1,341ElZK1DVM_0_10,Telephone_bell_ringing,,,,,
1,1,H4dtBl3R5RE_40_50,"Acoustic_guitar,Speech",,,,,
1,1,5nt4w_De4cc_0_10,Chicken_rooster,,,,,
1,1,B51I93AteI0_30_40,Violin_fiddle,,,,,
1,1,MFhYZJlMyC4_30_40,Clapping,,,,,
1,1,OtPSmMs6SAM_30_40,Chicken_rooster,,,,,
1,1,P5FtTbalbRQ_120_130,"Speech,Dog",,,,,
1,1,39I0igiJeDU_30_40,Vacuum_cleaner,,,,,
1,1,0EdTG-2RKMw_70_80,Blender,,,,,
1,1,75dGEmhcuPA_15_25,"Telephone_bell_ringing,Speech",,,,,
1,1,HE3sfnAo1x4_10_20,Vacuum_cleaner,,,,,
1,1,NqEJvz2Z4ZE_10_20,"Cello,Speech",,,,,
1,1,05UePdSDE2w_30_40,"Speech,Car",,,,,
1,1,0YVjrZcmrvs_30_40,"Speech,Car",,,,,
1,1,L5bEktwfAL8_30_40,"Violin_fiddle,Speech",,,,,
1,1,OQJCaaOnWbs_130_140,"Speech,Clapping",,,,,
1,1,IOx3KKEqYhU_90_100,"Speech,Frying_(food)",,,,,
1,1,FFFjAWN9AQI_180_190,"Singing,Speech",,,,,
1,1,IJ9WJQ0dj3g_20_30,"Helicopter,Speech",,,,,
1,1,GTGC4kf7u7k_30_40,Helicopter,,,,,
1,1,1UV_K2p8eZY_110_120,Car,,,,,
1,1,BRbZ-oCwByQ_30_40,Violin_fiddle,,,,,
1,1,OZMbG93fWAU_30_40,Chicken_rooster,,,,,
1,1,07gS7cRYuBY_9_19,"Speech,Car",,,,,
1,1,IwP5qXf31jI_70_80,Violin_fiddle,,,,,
1,1,CcKT8ol5k9A_30_40,Violin_fiddle,,,,,
1,1,MbMwwANtJqM_290_300,"Singing,Cheering",,,,,
1,1,2KdHeWz8utE_60_70,Vacuum_cleaner,,,,,
1,1,3-uuvun7zH8_200_210,Chicken_rooster,,,,,
1,1,47z9Dve7cfM_20_30,Cheering,,,,,
1,1,53UtJp-9UYM_100_110,Vacuum_cleaner,,,,,
1,1,Md5pjwC346Y_30_40,"Cheering,Speech",,,,,
1,1,BDYpXqMsg5k_150_160,Helicopter,,,,,
1,1,2Tg8LHzMOgs_150_160,"Basketball_bounce,Speech",,,,,
1,1,1XzMZcqHj4k_0_10,"Basketball_bounce,Speech",,,,,
1,1,0MOyfniKEsw_30_40,"Cheering,Speech",,,,,
1,1,MPAb8d7muhM_50_60,Accordion,,,,,
1,1,EkE-gmWzVss_30_40,Chicken_rooster,,,,,
1,1,7yfb05iMdkg_30_40,Chicken_rooster,,,,,
