filename,length,feature_length
BCzUvCRiBZs,31,119
1ipTHkegsc8,40,157
C5ldmpbK1s0,52,204
D7BhU7lUtiE,39,154
-mIg_JJe88s,47,185
-Zd9piSrz44,60,237
3cgX45wf-iU,45,177
0R3IlDmKOf0,53,208
5Ug2KSxaJAA,55,217
HoO07sydAZI,44,173
DTkKGYCRMlc,41,161
-wLl2ZEen2Q,51,201
fZgC46eCux0,52,206
0pg0Vi-AxHw,18,67
1IyL90mcMqo,38,149
24aIWeG8Mds,50,197
3WQcnbTWiIc,38,150
lHYGxVjUELw,42,165
0mIfM6JdvS0,46,181
35RMvLC3nAs,47,185
04Fyz2bRBVU,50,197
0J_j8be_sCU,50,197
JHdMcaW8UhI,37,143
6TJ4mjlhR2U,56,221
YzlRdbQyKko,59,232
1S1FwMCFx6s,13,49
TGJje4EKoKM,60,237
74zuXbucQUA,45,177
-Tok_g_jgE0,38,149
19345dVW8Ak,25,98
GkDN30ttEkc,37,145
1uLkSMHxvZY,48,189
-_4pavKENfE,35,137
1jyrJSHYR-c,37,145
-Z2WesHeKF8,53,208
nLzSz0qDT68,25,95
8Wy9ea-YVLs,52,205
0G7ooh7zwi8,42,165
5BLZ3GHTUzc,58,228
0YhjxnDRXhk,60,237
1xp2bkdhYTE,50,197
8FbJkBe9dsM,18,68
0Az4z8Bev5Y,40,156
2dk9xHmkNpI,45,177
B-Ua2uzRwu4,36,141
6Jo_tvf0qdI,19,73
uDqVzJtaxOc,59,233
0f4vjA3OTtI,50,197
-0UyIRbzhlw,36,139
4FGHCcch5WQ,38,149
QI5VGU2pris,52,205
564OgHriY7U,41,161
9D-aQeAr18w,52,205
70-a9PKf_NM,39,153
XIdLkMDPELQ,43,169
6gLYUqCk2eM,55,215
55cDQffhucw,48,188
FHDFt90vW2U,42,165
4N-nt5AVINM,47,185
2_kjJWlhxMU,47,185
eRGwgAT8Zd4,41,161
4cyaFyQr4V4,51,201
-LrC5sxFfo4,60,237
7XlFyURMkjg,43,169
35i-3XIn4ls,48,189
FndCEC7yK2g,51,201
--56QUhyDQM,29,111
5EY-SFIcg_E,57,227
48aCnIJFj48,37,145
7rxfucuwC-Q,56,220
Ia6C4k0o2hc,50,195
0JuxzsJo7mg,39,151
6vqKJK-F5pk,40,157
VZqIj7J2HKo,20,75
Ubmh-lOoe3Y,47,185
0CTfNgIntZ8,27,105
